,film,IMDB_Rating,Genre1,Genre2,Genre3
420,The Shawshank Redemption,9.3,Drama,,
358,The Godfather,9.2,Crime,Drama,
0,12 Angry Men,9.0,Crime,Drama,
345,The Dark Knight,9.0,Action,Crime,Drama
394,The Lord of the Rings: The Return of the King,8.9,Action,Adventure,Drama
273,Pulp Fiction,8.9,Crime,Drama,
293,Schindler's List,8.9,Biography,Drama,History
179,Inception,8.8,Action,Adventure,Sci-Fi
130,Fight Club,8.8,Drama,,
393,The Lord of the Rings: The Fellowship of the Ring,8.8,Action,Adventure,Drama
134,Forrest Gump,8.8,Drama,Romance,
403,The Matrix,8.7,Action,Sci-Fi,
395,The Lord of the Rings: The Two Towers,8.7,Action,Adventure,Drama
291,Saving Private Ryan,8.6,Drama,War,
421,The Silence of the Lambs,8.6,Crime,Drama,Thriller
190,It's a Wonderful Life,8.6,Drama,Family,Fantasy
185,Interstellar,8.6,Adventure,Drama,Sci-Fi
365,The Green Mile,8.6,Crime,Drama,Fantasy
323,Star Wars,8.6,Action,Adventure,Fantasy
409,The Prestige,8.5,Drama,Mystery,Sci-Fi
408,The Pianist,8.5,Biography,Drama,Music
83,Casablanca,8.5,Drama,Romance,War
387,The Lion King,8.5,Animation,Adventure,Drama
144,Gladiator,8.5,Action,Adventure,Drama
348,The Departed,8.5,Crime,Drama,Thriller
436,The Usual Suspects,8.5,Crime,Mystery,Thriller
329,Terminator 2: Judgment Day,8.5,Action,Sci-Fi,
272,Psycho,8.5,Horror,Mystery,Thriller
42,Back to the Future,8.5,Adventure,Comedy,Sci-Fi
194,Joker,8.5,Crime,Drama,Thriller
25,American History X,8.5,Drama,,
462,Whiplash,8.5,Drama,Music,
30,Apocalypse Now,8.4,Drama,Mystery,War
227,Memento,8.4,Mystery,Thriller,
275,Raiders of the Lost Ark,8.4,Action,Adventure,
466,Witness for the Prosecution,8.4,Crime,Drama,Mystery
280,Rear Window,8.4,Mystery,Thriller,
117,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,Comedy,,
316,Spider-Man: Into the Spider-Verse,8.4,Animation,Action,Adventure
326,Sunset Blvd.,8.4,Drama,Film-Noir,
15,Alien,8.4,Horror,Sci-Fi,
363,The Great Dictator,8.4,Comedy,Drama,War
390,The Lives of Others,8.4,Drama,Mystery,Thriller
111,Django Unchained,8.4,Drama,Western,
96,Coco,8.4,Animation,Adventure,Family
39,Avengers: Infinity War,8.4,Action,Adventure,Sci-Fi
38,Avengers: Endgame,8.4,Action,Adventure,Drama
208,Lawrence of Arabia,8.3,Adventure,Biography,Drama
16,Aliens,8.3,Action,Adventure,Sci-Fi
456,Vertigo,8.3,Mystery,Romance,Thriller
251,North by Northwest,8.3,Adventure,Mystery,Thriller
332,The Apartment,8.3,Comedy,Drama,Romance
94,Citizen Kane,8.3,Drama,Mystery,
328,Taxi Driver,8.3,Crime,Drama,
151,Good Will Hunting,8.3,Drama,Romance,
178,Incendies,8.3,Drama,Mystery,War
104,Das Boot,8.3,Adventure,Drama,Thriller
7,A Clockwork Orange,8.3,Crime,Drama,Sci-Fi
138,Full Metal Jacket,8.3,Drama,War,
304,Singin' in the Rain,8.3,Comedy,Musical,Romance
116,Double Indemnity,8.3,Crime,Drama,Film-Noir
27,Amélie,8.3,Comedy,Romance,
283,Requiem for a Dream,8.3,Drama,,
68,Braveheart,8.3,Biography,Drama,History
425,The Sting,8.3,Comedy,Crime,Drama
125,Eternal Sunshine of the Spotless Mind,8.3,Drama,Romance,Sci-Fi
447,Toy Story,8.3,Animation,Adventure,Comedy
21,Amadeus,8.3,Biography,Drama,History
182,Inglourious Basterds,8.3,Adventure,Drama,War
2,1917,8.3,Drama,Thriller,War
23,American Beauty,8.3,Drama,,
3,2001: A Space Odyssey,8.3,Adventure,Sci-Fi,
6,A Beautiful Mind,8.2,Biography,Drama,
258,Pan's Labyrinth,8.2,Drama,Fantasy,War
153,Green Book,8.2,Biography,Comedy,Drama
446,To Kill a Mockingbird,8.2,Crime,Drama,
310,Some Like It Hot,8.2,Comedy,Music,Romance
109,Die Hard,8.2,Action,Thriller,
200,Klaus,8.2,Animation,Adventure,Comedy
274,Raging Bull,8.2,Biography,Drama,Sport
196,Judgment at Nuremberg,8.2,Drama,War,
277,Ran,8.2,Action,Drama,War
432,The Treasure of the Sierra Madre,8.2,Adventure,Drama,Western
445,To Be or Not to Be,8.2,Comedy,War,
46,Batman Begins,8.2,Action,Adventure,
181,Indiana Jones and the Last Crusade,8.2,Action,Adventure,
443,There Will Be Blood,8.2,Drama,,
458,Warrior,8.2,Action,Drama,Sport
449,Toy Story 3,8.2,Animation,Adventure,Comedy
364,The Great Escape,8.2,Adventure,Drama,History
454,Unforgiven,8.2,Drama,Western,
359,The Gold Rush,8.2,Adventure,Comedy,Drama
455,Up,8.2,Animation,Adventure,Comedy
441,The Wolf of Wall Street,8.2,Biography,Crime,Drama
84,Casino,8.2,Crime,Drama,
204,L.A. Confidential,8.2,Crime,Drama,Mystery
431,The Third Man,8.1,Film-Noir,Mystery,Thriller
133,Ford v Ferrari,8.1,Action,Biography,Drama
131,Finding Nemo,8.1,Animation,Adventure,Comedy
197,Jurassic Park,8.1,Action,Adventure,Sci-Fi
281,Rebecca,8.1,Drama,Mystery,Romance
170,Hotel Rwanda,8.1,Biography,Drama,History
189,It Happened One Night,8.1,Comedy,Romance,
216,Logan,8.1,Action,Drama,Sci-Fi
128,Fargo,8.1,Crime,Drama,Thriller
434,The Truman Show,8.1,Comedy,Drama,
219,Mad Max: Fury Road,8.1,Action,Adventure,Sci-Fi
171,How to Train Your Dragon,8.1,Animation,Action,Adventure
247,Network,8.1,Drama,,
231,Million Dollar Baby,8.1,Drama,Sport,
259,Paper Moon,8.1,Comedy,Crime,Drama
285,Rocky,8.1,Drama,Sport,
157,Hacksaw Ridge,8.1,Biography,Drama,History
255,On the Waterfront,8.1,Crime,Drama,Thriller
240,Mr. Smith Goes to Washington,8.1,Comedy,Drama,
183,Inherit the Wind,8.1,Biography,Drama,History
177,In the Name of the Father,8.1,Biography,Crime,Drama
238,"Monsters, Inc.",8.1,Animation,Adventure,Comedy
249,No Country for Old Men,8.1,Crime,Drama,Thriller
184,Inside Out,8.1,Animation,Adventure,Comedy
150,Gone with the Wind,8.1,Drama,History,Romance
149,Gone Girl,8.1,Drama,Mystery,Thriller
267,Platoon,8.1,Drama,War,
1,12 Years a Slave,8.1,Biography,Drama,History
186,Into the Wild,8.1,Adventure,Biography,Drama
271,Prisoners,8.1,Crime,Drama,Mystery
44,Barry Lyndon,8.1,Adventure,Drama,History
88,Catch Me If You Can,8.1,Biography,Crime,Drama
311,Song of the Sea,8.1,Animation,Adventure,Drama
361,The Grand Budapest Hotel,8.1,Adventure,Comedy,Crime
350,The Elephant Man,8.1,Biography,Drama,
347,The Deer Hunter,8.1,Drama,War,
288,Room,8.1,Drama,Thriller,
339,The Bridge on the River Kwai,8.1,Adventure,Drama,War
92,Chinatown,8.1,Drama,Mystery,Thriller
97,Cool Hand Luke,8.1,Crime,Drama,
459,What Ever Happened to Baby Jane?,8.1,Drama,Horror,Thriller
320,Stand by Me,8.1,Adventure,Drama,
317,Spotlight,8.1,Biography,Crime,Drama
312,Soul,8.1,Animation,Adventure,Comedy
107,Dead Poets Society,8.1,Comedy,Drama,
452,Trainspotting,8.1,Drama,,
399,The Man Who Shot Liberty Valance,8.1,Drama,Western,
49,Before Sunset,8.1,Drama,Romance,
463,White Heat,8.1,Action,Crime,Drama
414,The Red Shoes,8.1,Drama,Music,Romance
422,The Sixth Sense,8.1,Drama,Mystery,Thriller
59,Blade Runner,8.1,Action,Sci-Fi,Thriller
52,Ben-Hur,8.1,Adventure,Drama,History
398,The Maltese Falcon,8.0,Film-Noir,Mystery,
